#r(A)          g(r)_raw       g(r)_smooth       Base
    6.6250     11.1380165     11.2454679     14.7335841
    6.6750     12.1857763     11.5312351     14.6749144
    6.7250     12.7273690     11.8281727     14.6141099
    6.7750     11.7842346     11.7554799     14.5503921
    6.8250     11.3054668     11.7401723     14.4847524
    6.8750     10.7745527     11.9301768     14.4188150
    6.9250     12.1092382     12.9317690     14.3531665
    6.9750     13.6773916     14.3406559     14.2883903
    7.0250     16.7921955     17.3563976     14.2235998
    7.0750     18.3499012     20.9730657     14.1578644
    7.1250     25.8532617     24.8379963     14.0909742
    7.1750     30.1925784     27.5228983     14.0198493
    7.2250     33.0020448     28.5586648     13.9459193
    7.2750     30.2167055     26.6791774     13.8707103
    7.3250     23.5287336     22.8435788     13.8008127
    7.3750     16.4558248     17.8979866     13.7385694
    7.4250     11.0145855     13.2892896     13.6840840
    7.4750      8.2740839      9.9815243     13.6347450
    7.5250      7.1732204      8.1543235     13.5886474
    7.5750      6.9899068      7.5037768     13.5441570
    7.6250      7.3198211      7.4052429     13.5004551
    7.6750      7.7618520      7.6251088     13.4566016
    7.7250      7.7814142      7.9038971     13.4121202
    7.7750      8.2725499      7.9868635     13.3673879
    7.8250      8.3838481      8.0822135     13.3230884
    7.8750      7.7346532      8.3167300     13.2790501
    7.9250      8.2386021      8.9030218     13.2373219
    7.9750      8.9539966     10.0560634     13.1986620
    8.0250     11.2040088     12.0555578     13.1652197
    8.0750     14.1490564     14.2225430     13.1352103
    8.1250     17.7321252     16.2726233     13.1052724
    8.1750     19.0735278     17.5730548     13.0708170
    8.2250     19.2043981     17.5381793     13.0286737
    8.2750     17.7061666     16.3052655     12.9779401
    8.3250     13.9746789     14.5753978     12.9192245
    8.3750     11.5675559     12.9539700     12.8556221
    8.4250     10.4241895     11.7691274     12.7897948
    8.4750     11.0972592     11.7195695     12.7226810
    8.5250     11.7819533     12.1910374     12.6554180
    8.5750     13.7268897     12.9025642     12.5890950
    8.6250     13.9248955     13.1579399     12.5239211
    8.6750     13.9818233     12.8453296     12.4616161
    8.7250     12.3741376     12.0577380     12.4038361
    8.7750     10.2189021     11.2526018     12.3497942
    8.8250      9.7889314     10.2986483     12.2996397
    8.8750      9.8992147     10.0410635     12.2517502
    8.9250      9.2120556     10.4732032     12.2043783
    8.9750     11.0862138     11.0285692     12.1568754
    9.0250     12.3796006     11.5074475     12.1081358
    9.0750     12.5657611     11.7551467     12.0575487
    9.1250     12.2936062     11.3703649     12.0053252
    9.1750     10.4505520     10.6431385     11.9514574
    9.2250      9.1623045     10.0829751     11.8980317
    9.2750      8.7434687      9.8583745     11.8465389
    9.3250      9.7649440     10.1441847     11.7979163
    9.3750     11.1706033     10.9218263     11.7513578
    9.4250     11.8796031     11.7491549     11.7053767
    9.4750     13.0505123     12.4744843     11.6589072
    9.5250     12.8801117     12.8226252     11.6113078
    9.5750     13.3915909     13.2313061     11.5626366
    9.6250     12.9113081     13.6815538     11.5132416
    9.6750     13.9230076     14.6473402     11.4643910
    9.7250     15.3017507     16.0944238     11.4178591
    9.7750     17.7090435     17.5414717     11.3742004
    9.8250     20.6270092     18.1240510     11.3324878
    9.8750     20.1465477     17.7407652     11.2897395
    9.9250     16.8359042     16.2157183     11.2436619
    9.9750     13.3853217     13.6185776     11.1944876
   10.0250     10.0838087     10.8715098     11.1426372
   10.0750      7.6413060      8.7128821     11.0896756
   10.1250      6.4112087      7.2208664     11.0366266
   10.1750      6.0427656      6.5245826     10.9840559
   10.2250      5.9252430      6.4744468     10.9323840
   10.2750      6.6023897      6.7964411     10.8818497
   10.3250      7.3906271      7.4359523     10.8319045
   10.3750      8.0211800      8.2246050     10.7821198
   10.4250      9.2403215      9.3160839     10.7321224
   10.4750      9.8685065     10.3330235     10.6808182
   10.5250     12.0597845     11.0955565     10.6280954
   10.5750     12.4753251     11.4685509     10.5725762
   10.6250     11.8338451     11.2800110     10.5147534
   10.6750     11.1052932     10.5347174     10.4560040
   10.7250      8.9258069      9.6683104     10.3984177
   10.7750      8.3333168      8.9049023     10.3437438
   10.8250      8.1432902      8.3187358     10.2925582
   10.8750      8.0168045      8.0824312     10.2445439
   10.9250      8.1744607      8.0967031     10.1984398
   10.9750      7.7442836      8.2336845     10.1534644
   11.0250      8.4046763      8.4510435     10.1095577
   11.0750      8.8281972      8.9229933     10.0669171
   11.1250      9.1035995      9.7003837     10.0256979
   11.1750     10.5342098     10.2994196      9.9866461
   11.2250     11.6312355     10.7825232      9.9484452
   11.2750     11.3998557     11.0646202      9.9100984
   11.3250     11.2437156     10.9468424      9.8708105
   11.3750     10.5140842     10.4342499      9.8300157
   11.4250      9.9453210     10.0813145      9.7880728
   11.4750      9.0682730      9.9440920      9.7454428
   11.5250      9.6351788      9.9452440      9.7027768
   11.5750     10.5576033     10.0541459      9.6605313
   11.6250     10.5198441     10.4230491      9.6186521
   11.6750     10.4898304     10.7292659      9.5771140
   11.7250     10.9127886     11.0627889      9.5359575
   11.7750     11.1662632     11.5816194      9.4937358
   11.8250     12.2252183     11.9912070      9.4496131
   11.8750     13.1139966     12.1515446      9.4024936
   11.9250     12.5377683     12.1288183      9.3518222
   11.9750     11.7144768     11.5428539      9.2983854
   12.0250     11.0526317     10.5416909      9.2429800
   12.0750      9.2953962      9.8118533      9.1862802
   12.1250      8.1081814      9.0737333      9.1294156
   12.1750      8.8885806      8.4400341      9.0733052
   12.2250      8.0238766      8.0764858      9.0171446
   12.2750      7.8841357      8.1235870      8.9618692
   12.3250      7.4776549      7.9668290      8.9081141
   12.3750      8.3436874      8.1943234      8.8571998
   12.4250      8.1047904      8.3766157      8.8096340
   12.4750      9.1613486      8.6817472      8.7655554
   12.5250      8.7955972      8.5894205      8.7229719
   12.5750      9.0033126      8.3838108      8.6810780
   12.6250      7.8820537      7.9721759      8.6385942
   12.6750      7.0767420      7.6225925      8.5957325
   12.7250      7.1031739      7.2130512      8.5526059
   12.7750      7.0476805      7.0219032      8.5090717
   12.8250      6.9556060      7.0275504      8.4649759
   12.8750      6.9263137      7.0763899      8.4204902
   12.9250      7.1049777      7.2285384      8.3758091
   12.9750      7.3473715      7.4158357      8.3310130
   13.0250      7.8084231      7.5815849      8.2864396
   13.0750      7.8920926      7.5822605      8.2421197
   13.1250      7.7550595      7.6135893      8.1991129
   13.1750      7.1083559      7.3225129      8.1576653
   13.2250      7.5040154      7.0511683      8.1180372
   13.2750      6.3530413      6.8659362      8.0796286
   13.3250      6.5353694      6.8497211      8.0423784
   13.3750      6.8288988      6.8923486      8.0057170
   13.4250      7.0272807      7.1906028      7.9692764
   13.4750      7.7171528      7.6845342      7.9327500
   13.5250      7.8443124      8.2330097      7.8956342
   13.5750      9.0050261      8.8511745      7.8576598
   13.6250      9.5712764      9.1790367      7.8182031
   13.6750     10.1181047      9.3904566      7.7770246
   13.7250      9.3564638      9.1849426      7.7338449
   13.7750      8.9014118      8.9405804      7.6897768
   13.8250      7.9774562      8.5675136      7.6455253
   13.8750      8.3494657      8.3370755      7.6017570
   13.9250      8.2527704      8.3229445      7.5582330
   13.9750      8.2042735      8.5830817      7.5146751
   14.0250      8.8307568      8.8508467      7.4710520
   14.0750      9.2781420      9.0724973      7.4266445
   14.1250      9.6882909      9.3673714      7.3812432
   14.1750      9.3610230      9.3220781      7.3346090
   14.2250      9.6786444      9.1116559      7.2869071
   14.2750      8.6042899      8.7564146      7.2377509
   14.3250      8.2260312      8.3291347      7.1879608
   14.3750      7.9120845      7.7358189      7.1377630
   14.4250      7.2246234      7.3007413      7.0877993
   14.4750      6.7120655      6.7931851      7.0389385
   14.5250      6.4289021      6.2671721      6.9912938
   14.5750      5.6882501      5.7795280      6.9448823
   14.6250      5.2820193      5.3841400      6.8999880
   14.6750      4.7864030      4.9838199      6.8560824
   14.7250      4.7351254      4.7303111      6.8131041
   14.7750      4.4273016      4.6010065      6.7714669
   14.8250      4.4207062      4.5976112      6.7310371
   14.8750      4.6354961      4.6773002      6.6917990
   14.9250      4.7694265      4.8668858      6.6534673
   14.9750      5.1335707      5.1827022      6.6164005
   15.0250      5.3752294      5.5332955      6.5801696
   15.0750      5.9997883      6.0073577      6.5451417
   15.1250      6.3884627      6.3913025      6.5107552
