#r(A)          g(r)_raw       g(r)_smooth       Base
    6.6250      0.8204673      0.8283398      1.0050695
    6.6750      0.8286051      0.8345532      1.0045903
    6.7250      0.8389876      0.8523303      1.0041025
    6.7750      0.8668940      0.8791079      1.0036245
    6.8250      0.9066975      0.9119956      1.0031633
    6.8750      0.9543554      0.9549319      1.0027162
    6.9250      0.9930435      1.0046660      1.0022786
    6.9750      1.0536691      1.0571958      1.0018624
    7.0250      1.1155645      1.1107963      1.0014687
    7.0750      1.1693465      1.1653932      1.0010907
    7.1250      1.2223580      1.2167482      1.0007248
    7.1750      1.2660279      1.2599821      1.0003731
    7.2250      1.3104441      1.2945142      1.0000380
    7.2750      1.3317340      1.3116980      0.9997094
    7.3250      1.3420070      1.3145905      0.9993847
    7.3750      1.3082770      1.2991314      0.9990725
    7.4250      1.2804904      1.2674747      0.9988029
    7.4750      1.2331484      1.2230484      0.9985810
    7.5250      1.1734507      1.1726494      0.9984304
    7.5750      1.1198753      1.1167618      0.9983545
    7.6250      1.0562819      1.0606322      0.9983579
    7.6750      1.0010524      1.0108080      0.9984404
    7.7250      0.9525006      0.9643570      0.9986105
    7.7750      0.9243300      0.9222544      0.9988581
    7.8250      0.8876200      0.8895665      0.9991603
    7.8750      0.8457688      0.8630886      0.9995082
    7.9250      0.8376132      0.8439271      0.9999056
    7.9750      0.8201111      0.8342509      1.0003211
    8.0250      0.8285225      0.8378056      1.0007491
    8.0750      0.8392387      0.8489722      1.0011718
    8.1250      0.8635423      0.8690268      1.0015762
    8.1750      0.8934466      0.8940350      1.0019414
    8.2250      0.9203838      0.9235516      1.0022515
    8.2750      0.9535635      0.9520340      1.0024836
    8.3250      0.9868217      0.9738155      1.0026309
    8.3750      1.0059542      0.9890773      1.0026808
    8.4250      1.0023541      0.9991491      1.0026316
    8.4750      0.9966932      1.0018892      1.0024976
    8.5250      1.0039224      0.9994615      1.0022979
    8.5750      1.0005220      0.9954464      1.0020406
    8.6250      0.9938157      0.9906290      1.0017399
    8.6750      0.9822788      0.9820663      1.0014067
    8.7250      0.9726060      0.9712019      1.0010666
    8.7750      0.9611087      0.9590739      1.0007294
    8.8250      0.9462003      0.9484502      1.0004110
    8.8750      0.9331758      0.9373346      1.0001186
    8.9250      0.9291601      0.9260332      0.9998666
    8.9750      0.9170279      0.9167200      0.9996501
    9.0250      0.9046019      0.9099962      0.9994745
    9.0750      0.8996342      0.9040254      0.9993515
    9.1250      0.8995569      0.9044887      0.9992779
    9.1750      0.8993058      0.9118343      0.9992545
    9.2250      0.9193445      0.9228265      0.9992851
    9.2750      0.9413302      0.9378314      0.9993665
    9.3250      0.9545948      0.9591111      0.9994887
    9.3750      0.9745816      0.9838095      0.9996552
    9.4250      1.0057043      1.0105886      0.9998677
    9.4750      1.0428364      1.0420294      1.0001210
    9.5250      1.0752257      1.0751557      1.0003998
    9.5750      1.1117990      1.1087132      1.0007011
    9.6250      1.1402129      1.1405723      1.0010190
    9.6750      1.1734918      1.1688231      1.0013442
    9.7250      1.2021323      1.1903851      1.0016649
    9.7750      1.2164794      1.2075047      1.0019716
    9.8250      1.2196089      1.2182670      1.0022592
    9.8750      1.2258109      1.2201819      1.0025249
    9.9250      1.2273035      1.2166080      1.0027580
    9.9750      1.2117067      1.2054564      1.0029348
   10.0250      1.1986099      1.1856831      1.0030464
   10.0750      1.1638511      1.1561189      1.0030764
   10.1250      1.1269440      1.1226606      1.0030224
   10.1750      1.0794825      1.0813959      1.0028857
   10.2250      1.0444154      1.0392792      1.0026726
   10.2750      0.9922864      0.9961997      1.0023821
   10.3250      0.9532677      0.9570617      1.0020332
   10.3750      0.9115464      0.9196556      1.0016392
   10.4250      0.8837927      0.8889648      1.0012140
   10.4750      0.8573850      0.8628094      1.0007624
   10.5250      0.8388321      0.8438606      1.0002990
   10.5750      0.8224910      0.8309417      0.9998311
   10.6250      0.8168021      0.8241311      0.9993777
   10.6750      0.8191983      0.8221955      0.9989493
   10.7250      0.8233319      0.8244507      0.9985551
   10.7750      0.8291543      0.8313590      0.9982091
   10.8250      0.8337668      0.8383980      0.9979190
   10.8750      0.8513434      0.8487873      0.9977024
   10.9250      0.8543937      0.8608208      0.9975633
   10.9750      0.8752784      0.8764066      0.9975109
   11.0250      0.8893215      0.8912418      0.9975355
   11.0750      0.9116958      0.9060070      0.9976328
   11.1250      0.9255194      0.9211737      0.9977986
   11.1750      0.9282196      0.9356820      0.9980273
   11.2250      0.9511122      0.9487155      0.9983291
   11.2750      0.9618630      0.9622553      0.9986896
   11.3250      0.9768632      0.9800315      0.9991041
   11.3750      0.9932184      0.9959553      0.9995672
   11.4250      1.0171009      1.0143017      1.0000676
   11.4750      1.0307311      1.0335844      1.0005862
   11.5250      1.0535950      1.0533301      1.0011180
   11.5750      1.0732765      1.0722786      1.0016433
   11.6250      1.0919471      1.0898892      1.0021459
   11.6750      1.1118432      1.1075835      1.0026104
   11.7250      1.1187841      1.1228747      1.0030219
   11.7750      1.1420665      1.1360186      1.0033736
   11.8250      1.1497325      1.1460678      1.0036536
   11.8750      1.1576665      1.1549335      1.0038604
   11.9250      1.1620895      1.1582692      1.0039869
   11.9750      1.1631123      1.1594634      1.0040248
   12.0250      1.1587453      1.1581008      1.0039730
   12.0750      1.1557033      1.1517659      1.0038348
   12.1250      1.1508537      1.1416863      1.0036123
   12.1750      1.1304151      1.1303091      1.0033087
   12.2250      1.1127140      1.1137220      1.0029343
   12.2750      1.1018594      1.0936869      1.0025058
   12.3250      1.0727679      1.0725507      1.0020324
   12.3750      1.0506779      1.0499592      1.0015328
   12.4250      1.0247345      1.0242969      1.0010181
   12.4750      0.9997561      1.0000599      1.0005025
   12.5250      0.9735483      0.9771022      1.0000010
   12.5750      0.9515826      0.9559800      0.9995262
   12.6250      0.9358896      0.9367757      0.9990896
   12.6750      0.9191236      0.9193849      0.9986920
   12.7250      0.9037345      0.9050782      0.9983369
   12.7750      0.8865943      0.8908751      0.9980242
   12.8250      0.8800490      0.8779490      0.9977635
   12.8750      0.8648743      0.8677978      0.9975485
   12.9250      0.8544928      0.8597816      0.9973904
   12.9750      0.8529786      0.8529908      0.9972880
   13.0250      0.8465131      0.8507852      0.9972426
   13.0750      0.8460954      0.8518104      0.9972560
   13.1250      0.8538460      0.8539101      0.9973303
   13.1750      0.8596187      0.8603685      0.9974622
   13.2250      0.8634772      0.8678329      0.9976495
   13.2750      0.8788050      0.8780744      0.9978960
   13.3250      0.8834173      0.8896187      0.9981985
   13.3750      0.9050537      0.9026146      0.9985587
   13.4250      0.9173401      0.9165685      0.9989671
   13.4750      0.9284569      0.9340631      0.9994237
   13.5250      0.9485742      0.9525629      0.9999186
   13.5750      0.9708905      0.9719470      1.0004444
   13.6250      0.9975526      0.9968054      1.0009862
   13.6750      1.0142606      1.0216126      1.0015286
   13.7250      1.0527492      1.0457653      1.0020644
   13.7750      1.0726100      1.0700378      1.0025620
   13.8250      1.0916544      1.0946563      1.0030142
   13.8750      1.1189151      1.1137637      1.0034103
   13.9250      1.1373527      1.1325627      1.0037338
   13.9750      1.1482861      1.1488771      1.0039758
   14.0250      1.1666052      1.1616952      1.0041353
   14.0750      1.1732264      1.1712541      1.0042021
   14.1250      1.1830057      1.1788549      1.0041783
   14.1750      1.1851473      1.1820728      1.0040634
   14.2250      1.1862897      1.1830546      1.0038595
   14.2750      1.1826947      1.1800761      1.0035732
   14.3250      1.1781355      1.1733511      1.0032078
   14.3750      1.1681131      1.1599710      1.0027707
   14.4250      1.1515224      1.1408589      1.0022692
   14.4750      1.1193893      1.1152035      1.0017120
   14.5250      1.0871345      1.0849567      1.0011171
   14.5750      1.0498584      1.0504461      1.0005013
   14.6250      1.0168792      1.0138888      0.9998829
   14.6750      0.9789693      0.9786908      0.9992768
   14.7250      0.9366027      0.9456807      0.9987035
   14.7750      0.9111448      0.9145101      0.9981811
   14.8250      0.8848077      0.8871911      0.9977165
   14.8750      0.8610262      0.8641381      0.9973223
   14.9250      0.8423740      0.8436856      0.9970051
   14.9750      0.8213380      0.8276825      0.9967676
   15.0250      0.8088821      0.8162915      0.9966196
   15.0750      0.8047920      0.8096403      0.9965652
   15.1250      0.8040716      0.8097766      0.9966025
   15.1750      0.8091176      0.8156405      0.9967315
   15.2250      0.8220195      0.8274614      0.9969518
   15.2750      0.8382019      0.8440558      0.9972564
   15.3250      0.8638965      0.8670342      0.9976368
   15.3750      0.8870433      0.8911430      0.9980779
   15.4250      0.9240098      0.9176125      0.9985717
   15.4750      0.9425634      0.9424966      0.9990943
   15.5250      0.9705494      0.9674810      0.9996361
   15.5750      0.9883171      0.9896747      1.0001814
   15.6250      1.0119653      1.0104816      1.0007191
   15.6750      1.0349783      1.0286785      1.0012339
   15.7250      1.0465978      1.0470198      1.0017155
   15.7750      1.0615338      1.0621573      1.0021566
   15.8250      1.0800237      1.0755460      1.0025460
   15.8750      1.0876529      1.0879582      1.0028727
   15.9250      1.1019219      1.0960658      1.0031291
   15.9750      1.1086589      1.1005188      1.0033076
   16.0250      1.1020717      1.1017871      1.0034038
   16.0750      1.1022889      1.0984081      1.0034215
   16.1250      1.0939940      1.0938096      1.0033638
   16.1750      1.0850272      1.0890322      1.0032381
   16.2250      1.0856665      1.0837399      1.0030573
   16.2750      1.0781844      1.0800944      1.0028213
   16.3250      1.0758273      1.0774565      1.0025446
   16.3750      1.0757666      1.0742539      1.0022337
   16.4250      1.0718376      1.0716303      1.0018927
   16.4750      1.0696535      1.0686728      1.0015315
   16.5250      1.0650666      1.0650269      1.0011582
   16.5750      1.0610395      1.0617582      1.0007783
   16.6250      1.0575374      1.0572336      1.0004006
   16.6750      1.0554941      1.0534625      1.0000306
   16.7250      1.0470302      1.0494634      0.9996724
   16.7750      1.0462114      1.0435113      0.9993331
   16.8250      1.0410437      1.0361904      0.9990118
   16.8750      1.0277770      1.0268934      0.9987114
   16.9250      1.0188899      1.0133408      0.9984402
   16.9750      1.0005449      0.9965365      0.9982017
   17.0250      0.9784484      0.9778150      0.9980016
   17.0750      0.9570222      0.9560320      0.9978456
   17.1250      0.9341697      0.9343900      0.9977368
   17.1750      0.9099750      0.9137297      0.9976786
   17.2250      0.8923346      0.8943786      0.9976746
   17.2750      0.8751470      0.8776226      0.9977234
   17.3250      0.8602664      0.8656022      0.9978242
   17.3750      0.8503898      0.8553969      0.9979798
   17.4250      0.8498734      0.8505281      0.9981921
   17.4750      0.8413079      0.8507409      0.9984540
   17.5250      0.8508029      0.8555606      0.9987680
   17.5750      0.8613304      0.8646691      0.9991224
   17.6250      0.8744886      0.8803014      0.9995089
   17.6750      0.8954157      0.8990250      0.9999193
   17.7250      0.9194693      0.9206856      1.0003393
   17.7750      0.9444208      0.9455861      1.0007558
   17.8250      0.9696337      0.9727664      1.0011580
   17.8750      0.9989908      1.0004764      1.0015351
   17.9250      1.0313175      1.0277357      1.0018780
   17.9750      1.0580192      1.0531818      1.0021720
   18.0250      1.0807171      1.0755257      1.0024132
   18.0750      1.0968646      1.0928781      1.0025934
   18.1250      1.1107103      1.1072267      1.0027103
   18.1750      1.1180794      1.1167132      1.0027593
   18.2250      1.1297619      1.1224019      1.0027417
   18.2750      1.1281497      1.1238842      1.0026547
   18.3250      1.1253084      1.1220891      1.0025017
   18.3750      1.1181217      1.1153396      1.0022908
   18.4250      1.1091036      1.1068851      1.0020343
   18.4750      1.0960147      1.0961743      1.0017406
   18.5250      1.0858769      1.0844574      1.0014231
   18.5750      1.0717548      1.0707321      1.0010908
   18.6250      1.0595370      1.0573809      1.0007505
   18.6750      1.0404771      1.0428613      1.0004094
   18.7250      1.0292587      1.0281066      1.0000780
   18.7750      1.0132789      1.0141910      0.9997594
   18.8250      0.9979812      1.0023881      0.9994635
   18.8750      0.9899593      0.9909972      0.9991977
   18.9250      0.9814626      0.9824480      0.9989667
   18.9750      0.9723040      0.9758056      0.9987752
   19.0250      0.9705330      0.9700335      0.9986265
   19.0750      0.9647688      0.9661266      0.9985195
   19.1250      0.9610989      0.9633663      0.9984560
   19.1750      0.9619281      0.9608987      0.9984338
   19.2250      0.9585028      0.9585293      0.9984492
   19.2750      0.9581949      0.9570901      0.9985026
   19.3250      0.9529218      0.9553352      0.9985876
   19.3750      0.9539029      0.9546116      0.9987058
   19.4250      0.9531539      0.9528451      0.9988553
   19.4750      0.9548848      0.9526939      0.9990327
   19.5250      0.9493622      0.9518988      0.9992328
   19.5750      0.9521656      0.9512496      0.9994539
   19.6250      0.9499273      0.9490519      0.9996850
   19.6750      0.9499082      0.9478335      0.9999209
   19.7250      0.9438962      0.9471627      1.0001544
   19.7750      0.9432700      0.9475694      1.0003836
   19.8250      0.9488118      0.9502610      1.0006038
   19.8750      0.9519607      0.9550891      1.0008088
   19.9250      0.9633663      0.9615364      1.0009939
   19.9750      0.9680364      0.9688140      1.0011502
   20.0250      0.9755068      0.9779490      1.0012780
   20.0750      0.9851996      0.9864640      1.0013734
   20.1250      0.9976358      0.9952885      1.0014342
   20.1750      1.0059415      1.0042504      1.0014595
   20.2250      1.0121589      1.0131605      1.0014500
   20.2750      1.0203163      1.0208349      1.0014095
   20.3250      1.0297500      1.0286397      1.0013404
   20.3750      1.0360080      1.0358941      1.0012437
   20.4250      1.0449650      1.0427387      1.0011230
   20.4750      1.0484309      1.0488731      1.0009807
   20.5250      1.0545394      1.0533574      1.0008261
   20.5750      1.0604223      1.0556457      1.0006635
   20.6250      1.0584291      1.0562194      1.0004943
   20.6750      1.0564067      1.0540770      1.0003246
   20.7250      1.0512997      1.0495640      1.0001588
   20.7750      1.0438274      1.0456141      1.0000025
   20.8250      1.0378570      1.0418817      0.9998648
   20.8750      1.0386796      1.0383421      0.9997484
   20.9250      1.0377448      1.0352249      0.9996515
   20.9750      1.0336016      1.0325364      0.9995738
   21.0250      1.0282418      1.0289695      0.9995159
   21.0750      1.0244141      1.0243774      0.9994788
   21.1250      1.0208454      1.0200461      0.9994631
   21.1750      1.0147842      1.0158024      0.9994683
   21.2250      1.0119448      1.0108790      0.9994951
   21.2750      1.0070236      1.0059593      0.9995403
   21.3250      0.9997973      1.0018597      0.9996016
   21.3750      0.9962467      0.9974886      0.9996767
   21.4250      0.9942863      0.9929194      0.9997597
   21.4750      0.9900890      0.9889197      0.9998463
   21.5250      0.9841780      0.9851895      0.9999325
   21.5750      0.9797983      0.9800364      1.0000153
   21.6250      0.9775959      0.9748481      1.0000931
   21.6750      0.9685206      0.9700984      1.0001607
   21.7250      0.9641475      0.9644411      1.0002191
   21.7750      0.9604296      0.9580804      1.0002692
   21.8250      0.9515120      0.9540760      1.0003083
   21.8750      0.9457921      0.9514217      1.0003402
   21.9250      0.9484986      0.9493261      1.0003654
   21.9750      0.9508762      0.9495798      1.0003806
