#r(A)          g(r)_raw       g(r)_smooth       Base
   28.9250      0.9427693      0.9434962      0.9989071
   28.9750      0.9479848      0.9493592      0.9990521
   29.0250      0.9543954      0.9573787      0.9992237
   29.0750      0.9640726      0.9656829      0.9994199
   29.1250      0.9776714      0.9757435      0.9996340
   29.1750      0.9842905      0.9860600      0.9998582
   29.2250      0.9982879      0.9966333      1.0000904
   29.2750      1.0059777      1.0068139      1.0003217
   29.3250      1.0169390      1.0165294      1.0005485
   29.3750      1.0285745      1.0256141      1.0007640
   29.4250      1.0328677      1.0340645      1.0009613
   29.4750      1.0437118      1.0422399      1.0011394
   29.5250      1.0482294      1.0496411      1.0012899
   29.5750      1.0578160      1.0569002      1.0014114
   29.6250      1.0655805      1.0619342      1.0014969
   29.6750      1.0691634      1.0667062      1.0015437
   29.7250      1.0688820      1.0687019      1.0015498
   29.7750      1.0720891      1.0685037      1.0015177
   29.8250      1.0677944      1.0665107      1.0014471
   29.8750      1.0645899      1.0633141      1.0013413
   29.9250      1.0591984      1.0586421      1.0012053
   29.9750      1.0528985      1.0523992      1.0010426
   30.0250      1.0487294      1.0447708      1.0008615
   30.0750      1.0365799      1.0366712      1.0006683
   30.1250      1.0264481      1.0276405      1.0004747
   30.1750      1.0187001      1.0177730      1.0002890
   30.2250      1.0077451      1.0085902      1.0001172
   30.2750      0.9993920      0.9997218      0.9999690
   30.3250      0.9906655      0.9908512      0.9998499
   30.3750      0.9821062      0.9831449      0.9997650
   30.4250      0.9743474      0.9761261      0.9997210
   30.4750      0.9692136      0.9700976      0.9997210
   30.5250      0.9642977      0.9653044      0.9997670
   30.5750      0.9605231      0.9615575      0.9998606
   30.6250      0.9581402      0.9587368      1.0000022
   30.6750      0.9556129      0.9573150      1.0001919
   30.7250      0.9551100      0.9564908      1.0004297
   30.7750      0.9571890      0.9562039      1.0007126
   30.8250      0.9564019      0.9559333      1.0010371
   30.8750      0.9567060      0.9566658      1.0014016
   30.9250      0.9542599      0.9567429      1.0018028
   30.9750      0.9587721      0.9571251      1.0022431
   31.0250      0.9575749      0.9577609      1.0027169
   31.0750      0.9583129      0.9596353      1.0032254
   31.1250      0.9598849      0.9613565      1.0037673
   31.1750      0.9636318      0.9635920      1.0043430
   31.2250      0.9673778      0.9669497      1.0049493
   31.2750      0.9687528      0.9710998      1.0051678
   31.3250      0.9751015      0.9753901      1.0053795
   31.3750      0.9806354      0.9804854      1.0055824
   31.4250      0.9850828      0.9876082      1.0057747
   31.4750      0.9928545      0.9954368      1.0059552
   31.5250      1.0043669      1.0032073      1.0061219
   31.5750      1.0142443      1.0123531      1.0062711
   31.6250      1.0194882      1.0216659      1.0063998
   31.6750      1.0308117      1.0300458      1.0065089
   31.7250      1.0394183      1.0378912      1.0065978
   31.7750      1.0462666      1.0455503      1.0066642
   31.8250      1.0534713      1.0514282      1.0067099
   31.8750      1.0577837      1.0564399      1.0067334
   31.9250      1.0602011      1.0589088      1.0067366
   31.9750      1.0644770      1.0603182      1.0067228
   32.0250      1.0586111      1.0599892      1.0066904
   32.0750      1.0605182      1.0581563      1.0066475
   32.1250      1.0561387      1.0541229      1.0065948
   32.1750      1.0510363      1.0496416      1.0065398
   32.2250      1.0443103      1.0435869      1.0064904
   32.2750      1.0362046      1.0361370      1.0064539
   32.3250      1.0302448      1.0283674      1.0064371
   32.3750      1.0188890      1.0198320      1.0064483
   32.4250      1.0121880      1.0157388      1.0064959
   32.4750      1.0016335      1.0109035      1.0065867
