2.78,0.29119
2.79,0.2771
2.8,0.26123
2.81,0.2436
2.82,0.22474
2.83,0.20474
2.84,0.18401
2.85,0.16281
2.86,0.14143
2.87,0.12014
2.88,0.09928
2.89,0.07898
2.9,0.0596
2.91,0.04126
2.92,0.02414
2.93,0.00847
2.94,-0.00584
2.95,-0.01839
2.96,-0.02946
2.97,-0.03883
2.98,-0.0466
2.99,-0.05286
3,-0.05751
3.01,-0.06089
3.02,-0.06288
3.03,-0.06378
3.04,-0.06367
3.05,-0.06271
3.06,-0.06109
3.07,-0.0589
3.08,-0.05637
3.09,-0.05361
3.1,-0.05078
3.11,-0.04801
3.12,-0.04541
3.13,-0.04304
3.14,-0.04107
3.15,-0.03948
3.16,-0.03837
3.17,-0.03774
3.18,-0.03758
3.19,-0.03796
3.2,-0.03875
3.21,-0.04003
3.22,-0.04168
3.23,-0.04367
3.24,-0.04595
3.25,-0.04843
3.26,-0.0511
3.27,-0.05383
3.28,-0.0566
3.29,-0.05935
3.3,-0.06202
3.31,-0.06456
3.32,-0.06697
3.33,-0.06915
3.34,-0.07116
3.35,-0.07293
3.36,-0.07449
3.37,-0.07583
3.38,-0.07696
3.39,-0.07792
3.4,-0.07868
3.41,-0.07932
3.42,-0.07983
3.43,-0.08023
3.44,-0.08056
3.45,-0.08084
3.46,-0.08106
3.47,-0.08125
3.48,-0.08142
3.49,-0.08155
3.5,-0.08163
3.51,-0.08166
3.52,-0.08162
3.53,-0.08148
3.54,-0.0812
3.55,-0.08076
3.56,-0.08012
3.57,-0.07925
3.58,-0.07813
3.59,-0.07668
3.6,-0.07492
3.61,-0.0728
3.62,-0.07032
3.63,-0.06748
3.64,-0.06423
3.65,-0.06066
3.66,-0.05671
3.67,-0.05247
3.68,-0.04795
3.69,-0.04321
3.7,-0.0383
3.71,-0.03329
3.72,-0.02825
3.73,-0.02328
3.74,-0.01842
3.75,-0.01379
3.76,-0.00946
3.77,-0.00548
3.78,-0.00201
3.79,9.91E-04
3.8,0.00338
3.81,0.00515
3.82,0.00627
3.83,0.00664
3.84,0.00635
3.85,0.00529
3.86,0.00356
3.87,0.00117
3.88,-0.00187
3.89,-0.00546
3.9,-0.0096
3.91,-0.01414
3.92,-0.01904
3.93,-0.0242
3.94,-0.02952
3.95,-0.03491
3.96,-0.04027
3.97,-0.04549
3.98,-0.05052
3.99,-0.05523
4,-0.05956
4.01,-0.06347
4.02,-0.06686
4.03,-0.06976
4.04,-0.07205
4.05,-0.07381
4.06,-0.075
4.07,-0.07563
4.08,-0.07577
4.09,-0.0754
4.1,-0.07465
4.11,-0.07352
4.12,-0.07212
4.13,-0.07051
4.14,-0.06878
4.15,-0.06701
4.16,-0.06529
4.17,-0.06368
4.18,-0.06227
4.19,-0.06111
4.2,-0.06025
4.21,-0.05976
4.22,-0.0596
4.23,-0.05988
4.24,-0.06052
4.25,-0.06154
4.26,-0.06289
4.27,-0.06452
4.28,-0.06639
4.29,-0.06841
4.3,-0.07049
4.31,-0.07253
4.32,-0.07444
4.33,-0.07608
4.34,-0.07739
4.35,-0.07816
4.36,-0.0784
4.37,-0.07789
4.38,-0.0766
4.39,-0.07443
4.4,-0.07123
4.41,-0.0671
4.42,-0.06175
4.43,-0.05536
4.44,-0.04781
4.45,-0.03912
4.46,-0.02939
4.47,-0.01851
4.48,-0.00671
4.49,0.00607
4.5,0.01963
4.51,0.0339
4.52,0.04875
4.53,0.06401
4.54,0.07957
4.55,0.09526
4.56,0.1109
4.57,0.12634
4.58,0.14143
4.59,0.15596
4.6,0.16987
4.61,0.18286
4.62,0.19496
4.63,0.20592
4.64,0.21568
4.65,0.22419
4.66,0.23122
4.67,0.23693
4.68,0.24102
4.69,0.24368
4.7,0.24479
4.71,0.24436
4.72,0.24253
4.73,0.23911
4.74,0.23441
4.75,0.22832
4.76,0.22102
4.77,0.21259
4.78,0.20307
4.79,0.19269
4.8,0.1814
4.81,0.16946
4.82,0.15692
4.83,0.14392
4.84,0.13059
4.85,0.11702
4.86,0.10334
4.87,0.08966
4.88,0.07607
4.89,0.06268
4.9,0.04958
4.91,0.03682
4.92,0.02453
4.93,0.0127
4.94,0.00147
4.95,-0.00918
4.96,-0.01917
4.97,-0.02845
4.98,-0.03708
4.99,-0.04488
5,-0.052
5.01,-0.05831
5.02,-0.06386
5.03,-0.06865
5.04,-0.07264
5.05,-0.07593
5.06,-0.07837
5.07,-0.08014
5.08,-0.08116
5.09,-0.08146
5.1,-0.08112
5.11,-0.08006
5.12,-0.07842
5.13,-0.07613
5.14,-0.0733
5.15,-0.06993
5.16,-0.06604
5.17,-0.06173
5.18,-0.05697
5.19,-0.05186
5.2,-0.04642
5.21,-0.04072
5.22,-0.0348
5.23,-0.02872
5.24,-0.02254
5.25,-0.0163
5.26,-0.01008
5.27,-0.00393
5.28,0.00208
5.29,0.00793
5.3,0.01352
5.31,0.01884
5.32,0.02378
5.33,0.02836
5.34,0.0325
5.35,0.03614
5.36,0.03933
5.37,0.0419
5.38,0.04398
5.39,0.04544
5.4,0.04632
5.41,0.04661
5.42,0.04628
5.43,0.04541
5.44,0.04388
5.45,0.04184
5.46,0.03923
5.47,0.03611
5.48,0.03253
5.49,0.02845
5.5,0.024
5.51,0.01914
5.52,0.01396
5.53,0.0085
5.54,0.00278
5.55,-0.00312
5.56,-0.00918
5.57,-0.01534
5.58,-0.02157
5.59,-0.02779
5.6,-0.034
5.61,-0.04012
5.62,-0.04613
5.63,-0.05195
