  #r(A)    Histogram   Baseline       PDF
  1.570     0.00000     0.00022    -0.00208
  1.580     0.00000     0.00026    -0.00243
  1.590     0.00000     0.00030    -0.00282
  1.600     0.00000     0.00035    -0.00325
  1.610     0.00000     0.00040    -0.00373
  1.620     0.00000     0.00045    -0.00425
  1.630     0.00000     0.00051    -0.00483
  1.640     0.00000     0.00058    -0.00546
  1.650     0.00000     0.00065    -0.00615
  1.660     0.00000     0.00073    -0.00689
  1.670     0.00000     0.00082    -0.00768
  1.680     0.00000     0.00091    -0.00853
  1.690     0.00000     0.00100    -0.00944
  1.700     0.00000     0.00111    -0.01040
  1.710     0.00000     0.00121    -0.01141
  1.720     0.00000     0.00133    -0.01247
  1.730     0.00000     0.00144    -0.01358
  1.740     0.00000     0.00157    -0.01474
  1.750     0.00000     0.00170    -0.01594
  1.760     0.00000     0.00183    -0.01719
  1.770     0.00000     0.00197    -0.01848
  1.780     0.00000     0.00211    -0.01981
  1.790     0.00000     0.00225    -0.02118
  1.800     0.00000     0.00240    -0.02258
  1.810     0.00000     0.00255    -0.02402
  1.820     0.00000     0.00271    -0.02549
  1.830     0.00000     0.00287    -0.02698
  1.840     0.00000     0.00303    -0.02850
  1.850     0.00000     0.00320    -0.03004
  1.860     0.00000     0.00336    -0.03161
  1.870     0.00000     0.00353    -0.03319
  1.880     0.00000     0.00370    -0.03480
  1.890     0.00000     0.00387    -0.03642
  1.900     0.00000     0.00405    -0.03806
  1.910     0.00000     0.00422    -0.03971
  1.920     0.00000     0.00440    -0.04137
  1.930     0.00000     0.00458    -0.04305
  1.940     0.00000     0.00476    -0.04473
  1.950     0.00000     0.00494    -0.04642
  1.960     0.00000     0.00512    -0.04811
  1.970     0.00000     0.00530    -0.04981
  1.980     0.00000     0.00548    -0.05152
  1.990     0.00000     0.00566    -0.05324
  2.000     0.00000     0.00585    -0.05495
  2.010     0.00000     0.00603    -0.05668
  2.020     0.00000     0.00621    -0.05841
  2.030     0.00000     0.00640    -0.06014
  2.040     0.00000     0.00658    -0.06187
  2.050     0.00000     0.00677    -0.06361
  2.060     0.00000     0.00695    -0.06535
  2.070     0.00000     0.00714    -0.06709
  2.080     0.00000     0.00732    -0.06883
  2.090     0.00000     0.00751    -0.07057
  2.100     0.00001     0.00769    -0.07223
  2.110     0.00001     0.00788    -0.07398
  2.120     0.00001     0.00806    -0.07573
  2.130     0.00001     0.00825    -0.07748
  2.140     0.00001     0.00844    -0.07924
  2.150     0.00002     0.00862    -0.08091
  2.160     0.00004     0.00881    -0.08249
  2.170     0.00005     0.00900    -0.08408
  2.180     0.00006     0.00918    -0.08575
  2.190     0.00006     0.00937    -0.08751
  2.200     0.00006     0.00956    -0.08927
  2.210     0.00005     0.00974    -0.09111
  2.220     0.00006     0.00993    -0.09279
  2.230     0.00011     0.01012    -0.09414
  2.240     0.00015     0.01031    -0.09549
  2.250     0.00019     0.01049    -0.09684
  2.260     0.00020     0.01068    -0.09852
  2.270     0.00020     0.01087    -0.10029
  2.280     0.00023     0.01105    -0.10174
  2.290     0.00029     0.01124    -0.10295
  2.300     0.00044     0.01143    -0.10328
  2.310     0.00060     0.01162    -0.10361
  2.320     0.00081     0.01180    -0.10340
  2.330     0.00097     0.01199    -0.10359
  2.340     0.00113     0.01218    -0.10389
  2.350     0.00128     0.01237    -0.10419
  2.360     0.00159     0.01255    -0.10309
  2.370     0.00199     0.01274    -0.10107
  2.380     0.00242     0.01292    -0.09875
  2.390     0.00302     0.01311    -0.09485
  2.400     0.00381     0.01330    -0.08915
  2.410     0.00458     0.01348    -0.08367
  2.420     0.00544     0.01367    -0.07737
  2.430     0.00642     0.01385    -0.06984
  2.440     0.00775     0.01403    -0.05910
  2.450     0.00937     0.01421    -0.04557
  2.460     0.01125     0.01439    -0.02955
  2.470     0.01315     0.01457    -0.01334
  2.480     0.01535     0.01475     0.00566
  2.490     0.01762     0.01492     0.02540
  2.500     0.02018     0.01509     0.04779
  2.510     0.02255     0.01526     0.06857
  2.520     0.02499     0.01542     0.08994
  2.530     0.02801     0.01558     0.11688
  2.540     0.03104     0.01573     0.14390
  2.550     0.03377     0.01588     0.16815
  2.560     0.03658     0.01602     0.19332
  2.570     0.03916     0.01616     0.21627
  2.580     0.04213     0.01628     0.24297
  2.590     0.04467     0.01640     0.26574
  2.600     0.04726     0.01652     0.28909
  2.610     0.04943     0.01662     0.30852
