  #r(A)    Histogram   Baseline       PDF
  3.080     0.00000     0.02919    -0.05121
  3.100     0.00000     0.02928    -0.05136
  3.120     0.00000     0.02937    -0.05151
  3.140     0.00000     0.02945    -0.05166
  3.160     0.00000     0.02954    -0.05181
  3.180     0.00000     0.02962    -0.05196
  3.200     0.00000     0.02971    -0.05211
  3.220     0.00000     0.02979    -0.05226
  3.240     0.00000     0.02988    -0.05241
  3.260     0.00000     0.02997    -0.05256
  3.280     0.00000     0.03005    -0.05271
  3.300     0.00000     0.03014    -0.05287
  3.320     0.00000     0.03022    -0.05302
  3.340     0.00000     0.03031    -0.05317
  3.360     0.00000     0.03040    -0.05332
  3.380     0.00000     0.03048    -0.05347
  3.400     0.00000     0.03057    -0.05362
  3.420     0.00000     0.03065    -0.05377
  3.440     0.00000     0.03074    -0.05392
  3.460     0.00000     0.03082    -0.05407
  3.480     0.00000     0.03091    -0.05422
  3.500     0.00000     0.03100    -0.05437
  3.520     0.00000     0.03108    -0.05452
  3.540     0.00000     0.03117    -0.05467
  3.560     0.00000     0.03136    -0.05500
  3.580     0.00000     0.03155    -0.05533
  3.600     0.00000     0.03173    -0.05567
  3.620     0.00000     0.03192    -0.05600
  3.640     0.00000     0.03211    -0.05633
  3.660     0.00000     0.03230    -0.05666
  3.680     0.00000     0.03249    -0.05699
  3.700     0.00000     0.03268    -0.05732
  3.720     0.00000     0.03287    -0.05765
  3.740     0.00000     0.03306    -0.05799
  3.760     0.00000     0.03325    -0.05832
  3.780     0.00000     0.03344    -0.05865
  3.800     0.00000     0.03362    -0.05898
  3.820     0.00000     0.03381    -0.05931
  3.840     0.07475     0.03400     0.07147
  3.860     0.07475     0.03419     0.07114
  3.880     0.07475     0.03438     0.07081
  3.900     0.07475     0.03457     0.07048
  3.920     0.07475     0.03476     0.07015
  3.940     0.07475     0.03495     0.06981
  3.960     0.07475     0.03498     0.06976
  3.980     0.07475     0.03500     0.06972
  4.000     0.07475     0.03503     0.06967
  4.020     0.07475     0.03506     0.06962
  4.040     0.07475     0.03509     0.06957
  4.060     0.00000     0.03511    -0.06159
  4.080     0.00000     0.03514    -0.06164
  4.100     0.00000     0.03517    -0.06169
  4.120     0.00000     0.03520    -0.06174
  4.140     0.00000     0.03523    -0.06179
  4.160     0.00000     0.03525    -0.06184
  4.180     0.00000     0.03528    -0.06189
  4.200     0.00000     0.03531    -0.06194
  4.220     0.00000     0.03551    -0.06229
  4.240     0.00000     0.03572    -0.06265
  4.260     0.00000     0.03592    -0.06301
  4.280     0.00000     0.03612    -0.06337
  4.300     0.00000     0.03633    -0.06372
  4.320     0.00000     0.03653    -0.06408
  4.340     0.00000     0.03674    -0.06444
  4.360     0.00000     0.03694    -0.06480
  4.380     0.00000     0.03714    -0.06515
  4.400     0.00000     0.03735    -0.06551
  4.420     0.00000     0.03755    -0.06587
  4.440     0.00000     0.03775    -0.06623
  4.460     0.00000     0.03796    -0.06658
  4.480     0.00000     0.03816    -0.06694
  4.500     0.00000     0.03837    -0.06730
  4.520     0.00000     0.03857    -0.06765
  4.540     0.00000     0.03877    -0.06801
  4.560     0.00000     0.03898    -0.06837
  4.580     0.00000     0.03918    -0.06873
  4.600     0.00000     0.03938    -0.06908
  4.620     0.00000     0.03959    -0.06944
  4.640     0.00000     0.03979    -0.06980
  4.660     0.00000     0.04000    -0.07016
  4.680     0.00000     0.04020    -0.07051
  4.700     0.00000     0.04040    -0.07087
  4.720     0.23151     0.04061     0.33486
  4.740     0.23151     0.04081     0.33450
  4.760     0.23151     0.04101     0.33415
  4.780     0.23151     0.04122     0.33379
  4.800     0.23151     0.04147     0.33334
  4.820     0.23151     0.04197     0.33246
  4.840     0.23151     0.04198     0.33246
  4.860     0.23151     0.04198     0.33246
  4.880     0.23151     0.04198     0.33246
  4.900     0.23151     0.04198     0.33246
  4.920     0.23151     0.04198     0.33246
  4.940     0.00000     0.04198    -0.07364
  4.960     0.00000     0.04198    -0.07364
  4.980     0.00000     0.04198    -0.07364
  5.000     0.00000     0.04198    -0.07364
  5.020     0.00000     0.04198    -0.07364
  5.040     0.00000     0.04198    -0.07364
  5.060     0.00000     0.04198    -0.07364
  5.080     0.00000     0.04198    -0.07364
  5.100     0.00000     0.04199    -0.07365
  5.120     0.00000     0.04199    -0.07365
  5.140     0.00000     0.04199    -0.07365
  5.160     0.00000     0.04199    -0.07365
  5.180     0.00000     0.04199    -0.07365
  5.200     0.00000     0.04199    -0.07365
  5.220     0.00000     0.04199    -0.07365
  5.240     0.00000     0.04199    -0.07366
  5.260     0.00000     0.04199    -0.07366
  5.280     0.00000     0.04199    -0.07366
  5.300     0.00000     0.04199    -0.07366
  5.320     0.00000     0.04199    -0.07366
  5.340     0.00000     0.04199    -0.07366
  5.360     0.00000     0.04227    -0.07415
  5.380     0.00000     0.04255    -0.07463
  5.400     0.00000     0.04282    -0.07511
  5.420     0.00000     0.04310    -0.07560
  5.440     0.00000     0.04337    -0.07608
  5.460     0.09574     0.04365     0.09137
  5.480     0.09574     0.04393     0.09089
  5.500     0.09574     0.04420     0.09040
  5.520     0.09574     0.04448     0.08992
  5.540     0.09574     0.04475     0.08943
  5.560     0.09574     0.04503     0.08895
  5.580     0.09574     0.04510     0.08883
  5.600     0.09574     0.04517     0.08871
  5.620     0.09574     0.04524     0.08858
  5.640     0.09574     0.04531     0.08846
  5.660     0.09574     0.04538     0.08834
  5.680     0.00000     0.04545    -0.07972
  5.700     0.00000     0.04552    -0.07984
  5.720     0.00000     0.04559    -0.07996
  5.740     0.00000     0.04566    -0.08008
  5.760     0.00000     0.04572    -0.08021
  5.780     0.00000     0.04579    -0.08033
  5.800     0.00000     0.04586    -0.08045
  5.820     0.00000     0.04593    -0.08057
  5.840     0.00000     0.04600    -0.08069
  5.860     0.00000     0.04610    -0.08087
  5.880     0.00000     0.04620    -0.08105
  5.900     0.00000     0.04630    -0.08122
  5.920     0.00000     0.04640    -0.08140
  5.940     0.00000     0.04651    -0.08158
  5.960     0.00000     0.04661    -0.08175
  5.980     0.00000     0.04679    -0.08207
  6.000     0.00000     0.04697    -0.08239
  6.020     0.00000     0.04715    -0.08271
  6.040     0.00000     0.04733    -0.08302
  6.060     0.00000     0.04751    -0.08334
  6.080     0.00000     0.04769    -0.08366
  6.100     0.00000     0.04787    -0.08398
  6.120     0.16320     0.04806     0.20198
  6.140     0.16320     0.04824     0.20166
  6.160     0.16320     0.04842     0.20134
  6.180     0.16320     0.04860     0.20102
  6.200     0.16320     0.04878     0.20071
  6.220     0.16320     0.04896     0.20039
  6.240     0.16320     0.04879     0.20069
  6.260     0.16320     0.04862     0.20099
  6.280     0.16320     0.04845     0.20129
  6.300     0.16320     0.04828     0.20159
  6.320     0.16320     0.04811     0.20189
  6.340     0.00000     0.04811    -0.08438
  6.360     0.00000     0.04810    -0.08438
  6.380     0.00000     0.04810    -0.08438
  6.400     0.00000     0.04810    -0.08437
  6.420     0.00000     0.04810    -0.08437
  6.440     0.00000     0.04810    -0.08437
  6.460     0.00000     0.04809    -0.08436
  6.480     0.00000     0.04809    -0.08436
  6.500     0.00000     0.04809    -0.08436
  6.520     0.00000     0.04809    -0.08435
  6.540     0.00000     0.04809    -0.08435
  6.560     0.00000     0.04808    -0.08435
  6.580     0.00000     0.04808    -0.08434
  6.600     0.00000     0.04808    -0.08434
  6.620     0.00000     0.04808    -0.08434
  6.640     0.00000     0.04808    -0.08433
  6.660     0.00000     0.04807    -0.08433
  6.680     0.00000     0.04807    -0.08433
  6.700     0.04802     0.04807    -0.00008
  6.720     0.04802     0.04807    -0.00008
  6.740     0.04802     0.04807    -0.00007
  6.760     0.04802     0.04807    -0.00007
  6.780     0.04802     0.04806    -0.00007
  6.800     0.04802     0.04816    -0.00025
  6.820     0.04802     0.04816    -0.00024
  6.840     0.04802     0.04816    -0.00024
  6.860     0.04802     0.04841    -0.00067
  6.880     0.04802     0.04865    -0.00110
  6.900     0.04802     0.04890    -0.00154
  6.920     0.00000     0.04915    -0.08621
  6.940     0.00000     0.04940    -0.08665
  6.960     0.00000     0.04964    -0.08708
  6.980     0.00000     0.04989    -0.08752
  7.000     0.00000     0.05014    -0.08795
  7.020     0.00000     0.05039    -0.08838
  7.040     0.00000     0.05063    -0.08882
  7.060     0.00000     0.05088    -0.08925
  7.080     0.00000     0.05113    -0.08968
  7.100     0.00000     0.05138    -0.09012
  7.120     0.00000     0.05162    -0.09055
  7.140     0.00000     0.05187    -0.09099
  7.160     0.00000     0.05212    -0.09142
  7.180     0.00000     0.05237    -0.09185
  7.200     0.00000     0.05261    -0.09229
  7.220     0.00000     0.05296    -0.09289
  7.240     0.00000     0.05330    -0.09349
  7.260     0.25521     0.05364     0.35358
  7.280     0.25521     0.05398     0.35297
  7.300     0.25521     0.05433     0.35237
  7.320     0.25521     0.05467     0.35177
  7.340     0.25521     0.05501     0.35117
  7.360     0.25521     0.05536     0.35057
  7.380     0.25521     0.05515     0.35093
  7.400     0.25521     0.05494     0.35130
  7.420     0.25521     0.05473     0.35166
  7.440     0.25521     0.05453     0.35202
  7.460     0.25521     0.05432     0.35239
  7.480     0.00000     0.05411    -0.09492
  7.500     0.00000     0.05390    -0.09455
  7.520     0.00000     0.05370    -0.09419
  7.540     0.00000     0.05349    -0.09382
  7.560     0.00000     0.05328    -0.09346
  7.580     0.00000     0.05307    -0.09310
  7.600     0.00000     0.05297    -0.09291
  7.620     0.00000     0.05286    -0.09273
  7.640     0.00000     0.05285    -0.09270
  7.660     0.00000     0.05283    -0.09267
  7.680     0.00000     0.05282    -0.09264
  7.700     0.00000     0.05280    -0.09262
  7.720     0.00000     0.05278    -0.09259
  7.740     0.00000     0.05277    -0.09256
  7.760     0.02883     0.05275    -0.04196
  7.780     0.02883     0.05273    -0.04194
  7.800     0.02883     0.05272    -0.04191
  7.820     0.02883     0.05270    -0.04188
  7.840     0.02883     0.05269    -0.04185
  7.860     0.02883     0.05267    -0.04182
  7.880     0.02883     0.05259    -0.04168
  7.900     0.02883     0.05251    -0.04155
  7.920     0.02883     0.05243    -0.04141
  7.940     0.02883     0.05235    -0.04127
  7.960     0.02883     0.05228    -0.04113
  7.980     0.00000     0.05220    -0.09156
  8.000     0.00000     0.05212    -0.09142
  8.020     0.00000     0.05229    -0.09172
  8.040     0.00000     0.05245    -0.09201
  8.060     0.00000     0.05262    -0.09230
  8.080     0.00000     0.05279    -0.09260
  8.100     0.00000     0.05296    -0.09289
  8.120     0.00000     0.05312    -0.09319
  8.140     0.00000     0.05329    -0.09348
  8.160     0.00000     0.05346    -0.09377
  8.180     0.00000     0.05363    -0.09407
  8.200     0.00000     0.05379    -0.09436
  8.220     0.00000     0.05396    -0.09466
  8.240     0.15661     0.05413     0.17975
  8.260     0.15661     0.05447     0.17915
  8.280     0.15661     0.05482     0.17855
  8.300     0.15661     0.05516     0.17795
  8.320     0.15661     0.05550     0.17734
  8.340     0.15661     0.05585     0.17674
  8.360     0.15661     0.05585     0.17673
  8.380     0.15661     0.05586     0.17672
  8.400     0.15661     0.05586     0.17671
  8.420     0.15661     0.05587     0.17670
  8.440     0.15661     0.05588     0.17669
  8.460     0.00000     0.05588    -0.09802
  8.480     0.00000     0.05589    -0.09803
  8.500     0.00000     0.05589    -0.09804
  8.520     0.00000     0.05590    -0.09805
  8.540     0.00000     0.05591    -0.09806
  8.560     0.00000     0.05591    -0.09807
  8.580     0.00000     0.05592    -0.09808
  8.600     0.00000     0.05592    -0.09809
  8.620     0.00000     0.05593    -0.09810
  8.640     0.00000     0.05593    -0.09811
  8.660     0.00000     0.05594    -0.09813
  8.680     0.00000     0.05595    -0.09814
  8.700     0.09571     0.05595     0.06973
  8.720     0.09571     0.05596     0.06972
  8.740     0.09571     0.05596     0.06971
  8.760     0.09571     0.05611     0.06945
  8.780     0.09571     0.05626     0.06919
  8.800     0.09571     0.05641     0.06893
  8.820     0.09571     0.05635     0.06903
  8.840     0.09571     0.05635     0.06904
  8.860     0.09571     0.05634     0.06905
  8.880     0.09571     0.05633     0.06906
  8.900     0.09571     0.05633     0.06907
  8.920     0.00000     0.05632    -0.09880
  8.940     0.00000     0.05632    -0.09879
  8.960     0.00000     0.05631    -0.09878
  8.980     0.00000     0.05631    -0.09877
  9.000     0.00000     0.05630    -0.09876
  9.020     0.00000     0.05629    -0.09874
  9.040     0.00000     0.05629    -0.09873
  9.060     0.00000     0.05628    -0.09872
  9.080     0.00000     0.05628    -0.09871
  9.100     0.00000     0.05627    -0.09870
  9.120     0.08862     0.05630     0.05669
  9.140     0.08862     0.05632     0.05664
  9.160     0.08862     0.05635     0.05660
  9.180     0.08862     0.05638     0.05655
  9.200     0.08862     0.05641     0.05650
  9.220     0.08862     0.05643     0.05645
  9.240     0.08862     0.05627     0.05674
  9.260     0.08862     0.05611     0.05703
  9.280     0.08862     0.05594     0.05731
  9.300     0.08862     0.05578     0.05760
  9.320     0.08862     0.05562     0.05789
  9.340     0.00000     0.05545    -0.09727
  9.360     0.00000     0.05529    -0.09698
  9.380     0.00000     0.05512    -0.09669
  9.400     0.00000     0.05524    -0.09689
  9.420     0.00000     0.05535    -0.09708
  9.440     0.00000     0.05546    -0.09728
  9.460     0.00000     0.05570    -0.09770
  9.480     0.00000     0.05593    -0.09811
  9.500     0.00000     0.05617    -0.09853
  9.520     0.00000     0.05641    -0.09895
  9.540     0.08153     0.05665     0.04365
  9.560     0.08153     0.05688     0.04324
  9.580     0.08153     0.05712     0.04282
  9.600     0.08153     0.05736     0.04240
  9.620     0.08153     0.05760     0.04199
  9.640     0.08153     0.05783     0.04157
  9.660     0.08153     0.05789     0.04146
  9.680     0.08153     0.05796     0.04136
  9.700     0.08153     0.05802     0.04125
  9.720     0.08153     0.05808     0.04114
  9.740     0.08153     0.05814     0.04103
  9.760     0.00000     0.05820    -0.10209
  9.780     0.00000     0.05826    -0.10220
  9.800     0.00000     0.05840    -0.10244
  9.820     0.00000     0.05854    -0.10268
  9.840     0.00000     0.05867    -0.10292
  9.860     0.00000     0.05881    -0.10316
  9.880     0.00000     0.05895    -0.10340
  9.900     0.00000     0.05911    -0.10369
  9.920     0.22818     0.05928     0.29627
  9.940     0.22818     0.05945     0.29598
  9.960     0.22818     0.05961     0.29569
  9.980     0.22818     0.05978     0.29539
 10.000     0.22818     0.05995     0.29510
 10.020     0.22818     0.06012     0.29481
 10.040     0.22818     0.05979     0.29538
 10.060     0.22818     0.05947     0.29595
 10.080     0.22818     0.05914     0.29652
