 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
    1.1900      0.0000000      0.0000000      0.0238866
    1.2100      0.0000000      0.0000000      0.0245427
    1.2300      0.0000000      0.0000000      0.0252003
    1.2500      0.0000000      0.0000000      0.0258596
    1.2700      0.0000000      0.0000000      0.0265206
    1.2900      0.0000000      0.0000000      0.0271833
    1.3100      0.0000000      0.0000000      0.0278483
    1.3300      0.0000000      0.0000000      0.0285156
    1.3500      0.0000000      0.0000000      0.0291859
    1.3700      0.0000000      0.0000000      0.0298603
    1.3900      0.0000000      0.0000000      0.0305389
    1.4100      0.0000000      0.0000000      0.0312227
    1.4300      0.0000000      0.0000000      0.0319125
    1.4500      0.0000000      0.0000000      0.0326102
    1.4700      0.0000000      0.0000000      0.0333147
    1.4900      0.0000000      0.0000000      0.0340286
    1.5100      0.0000000      0.0000000      0.0347509
    1.5300      0.0000000      0.0000000      0.0354828
    1.5500      0.0000000      0.0000000      0.0362232
    1.5700      0.0000000      0.0000000      0.0369718
    1.5900      0.0000000      0.0000000      0.0377270
    1.6100      0.0000000      0.0000000      0.0384883
    1.6300      0.0000000      0.0000000      0.0392548
    1.6500      0.0000000      0.0000000      0.0400268
    1.6700      0.0000000      0.0000000      0.0408033
    1.6900      0.0000000      0.0000000      0.0415834
    1.7100      0.0000000      0.0000000      0.0423660
    1.7300      0.0000000      0.0000000      0.0431515
    1.7500      0.0000000      0.0000000      0.0439399
    1.7700      0.0000000      0.0000000      0.0447309
    1.7900      0.0000000      0.0000000      0.0455242
    1.8100      0.0000000      0.0000000      0.0463194
    1.8300      0.0000000      0.0000000      0.0471173
    1.8500      0.0000000      0.0000000      0.0479175
    1.8700      0.0000000      0.0000000      0.0487204
    1.8900      0.0000000      0.0000000      0.0495256
    1.9100      0.0000000      0.0000000      0.0503330
    1.9300      0.0000000      0.0000000      0.0511432
    1.9500      0.0000000      0.0000000      0.0519568
    1.9700      0.0000000      0.0000000      0.0527742
    1.9900      0.0000000      0.0000000      0.0535958
    2.0100      0.0000000      0.0000000      0.0544217
    2.0300      0.0000000      0.0000000      0.0552519
    2.0500      0.0000000      0.0000000      0.0560863
    2.0700      0.0000000      0.0011093      0.0569257
    2.0900      0.0000000      0.0021979      0.0577706
    2.1100      0.0055467      0.0054033      0.0586214
    2.1300      0.0054430      0.0088120      0.0594787
    2.1500      0.0160266      0.0160203      0.0603446
    2.1700      0.0170436      0.0242647      0.0612183
    2.1900      0.0360418      0.0363354      0.0621015
    2.2100      0.0467686      0.0467882      0.0629932
    2.2300      0.0657966      0.0656638      0.0638938
    2.2500      0.0682905      0.0897701      0.0648024
    2.2700      0.1114214      0.1169759      0.0657210
    2.2900      0.1565734      0.1458918      0.0666398
    2.3100      0.1827975      0.1825391      0.0675502
    2.3300      0.2103765      0.2222445      0.0684472
    2.3500      0.2515267      0.2650720      0.0693256
    2.3700      0.3099486      0.3088698      0.0701742
    2.3900      0.3707111      0.3627716      0.0709811
    2.4100      0.4017862      0.4105853      0.0717310
    2.4300      0.4798853      0.4516084      0.0724154
    2.4500      0.4905953      0.4654880      0.0730164
    2.4700      0.5150639      0.4703836      0.0735302
    2.4900      0.4401095      0.4563880      0.0739503
    2.5100      0.4262644      0.4177024      0.0742899
    2.5300      0.4099068      0.3689021      0.0745513
    2.5500      0.2971674      0.3215582      0.0747368
    2.5700      0.2710622      0.2642184      0.0748682
    2.5900      0.2033902      0.2056215      0.0749508
    2.6100      0.1395651      0.1648252      0.0749971
    2.6300      0.1169222      0.1239490      0.0750196
    2.6500      0.0931862      0.0911201      0.0750222
    2.6700      0.0666815      0.0717814      0.0750096
    2.6900      0.0392456      0.0550237      0.0749871
    2.7100      0.0428715      0.0416111      0.0749591
    2.7300      0.0331338      0.0335851      0.0749257
    2.7500      0.0261229      0.0298601      0.0748890
    2.7700      0.0265517      0.0248823      0.0748505
    2.7900      0.0206206      0.0221098      0.0748111
    2.8100      0.0179826      0.0208375      0.0747716
    2.8300      0.0192710      0.0188250      0.0747334
    2.8500      0.0197615      0.0185445      0.0746970
    2.8700      0.0164891      0.0177183      0.0746620
    2.8900      0.0192183      0.0164530      0.0746305
    2.9100      0.0138518      0.0143451      0.0746031
    2.9300      0.0129442      0.0135669      0.0745813
    2.9500      0.0092222      0.0130378      0.0745651
    2.9700      0.0125979      0.0129931      0.0745559
    2.9900      0.0165732      0.0125561      0.0745527
    3.0100      0.0136281      0.0144280      0.0745546
    3.0300      0.0107590      0.0142666      0.0745613
    3.0500      0.0185821      0.0130210      0.0745732
    3.0700      0.0117905      0.0122102      0.0745875
    3.0900      0.0103452      0.0134613      0.0746049
    3.1100      0.0095743      0.0121091      0.0746251
    3.1300      0.0170142      0.0129457      0.0746473
    3.1500      0.0118214      0.0134247      0.0746693
    3.1700      0.0159732      0.0133072      0.0746929
    3.1900      0.0127402      0.0127447      0.0747162
    3.2100      0.0089871      0.0140042      0.0747396
    3.2300      0.0142018      0.0141582      0.0747640
    3.2500      0.0181189      0.0151464      0.0747880
    3.2700      0.0167432      0.0179696      0.0748109
    3.2900      0.0176810      0.0199171      0.0748328
    3.3100      0.0231028      0.0222345      0.0748544
    3.3300      0.0239396      0.0274747      0.0748747
    3.3500      0.0297058      0.0324263      0.0748938
    3.3700      0.0429442      0.0384241      0.0749103
    3.3900      0.0424390      0.0459152      0.0749229
    3.4100      0.0530919      0.0558457      0.0749321
    3.4300      0.0613953      0.0614078      0.0749366
    3.4500      0.0793580      0.0720793      0.0749359
    3.4700      0.0707550      0.0784982      0.0749272
    3.4900      0.0957962      0.0858385      0.0749133
    3.5100      0.0851867      0.0872103      0.0748911
    3.5300      0.0980964      0.0899163      0.0748634
    3.5500      0.0862171      0.0842652      0.0748282
    3.5700      0.0842850      0.0795446      0.0747887
    3.5900      0.0675410      0.0705138      0.0747441
    3.6100      0.0615838      0.0645772      0.0746987
    3.6300      0.0529423      0.0568874      0.0746518
    3.6500      0.0565342      0.0507243      0.0746046
    3.6700      0.0458358      0.0436105      0.0745552
    3.6900      0.0367257      0.0387906      0.0745035
    3.7100      0.0260146      0.0335421      0.0744514
    3.7300      0.0288425      0.0294135      0.0743999
    3.7500      0.0302917      0.0269680      0.0743478
    3.7700      0.0251932      0.0256778      0.0742940
    3.7900      0.0244982      0.0252963      0.0742391
    3.8100      0.0195634      0.0239861      0.0741829
    3.8300      0.0269352      0.0243886      0.0741262
    3.8500      0.0237405      0.0242215      0.0740673
    3.8700      0.0272057      0.0249931      0.0740074
    3.8900      0.0236628      0.0251222      0.0739454
    3.9100      0.0234213      0.0271797      0.0738820
    3.9300      0.0275804      0.0297293      0.0738170
    3.9500      0.0340284      0.0334505      0.0737501
    3.9700      0.0399536      0.0375965      0.0736803
    3.9900      0.0422686      0.0408994      0.0736065
    4.0100      0.0441516      0.0424493      0.0735284
    4.0300      0.0440946      0.0448194      0.0734464
    4.0500      0.0417782      0.0475849      0.0733611
    4.0700      0.0518040      0.0507421      0.0732724
    4.0900      0.0560963      0.0574866      0.0731787
    4.1100      0.0599373      0.0687746      0.0730790
    4.1300      0.0778172      0.0808517      0.0729726
    4.1500      0.0982181      0.0956544      0.0728563
    4.1700      0.1121895      0.1156424      0.0727260
    4.1900      0.1301101      0.1367211      0.0725797
    4.2100      0.1598769      0.1599379      0.0724139
    4.2300      0.1832108      0.1851066      0.0722242
    4.2500      0.2143023      0.2039001      0.0720071
    4.2700      0.2380328      0.2175218      0.0717580
    4.2900      0.2240779      0.2267809      0.0714723
    4.3100      0.2279853      0.2301836      0.0711574
    4.3300      0.2295061      0.2220814      0.0708169
    4.3500      0.2313156      0.2164752      0.0704538
    4.3700      0.1975220      0.2027490      0.0700704
    4.3900      0.1960468      0.1839015      0.0696776
    4.4100      0.1593543      0.1594615      0.0692825
    4.4300      0.1352690      0.1381247      0.0688991
    4.4500      0.1091152      0.1139205      0.0685366
    4.4700      0.0908384      0.0940690      0.0682091
    4.4900      0.0750258      0.0776651      0.0679229
    4.5100      0.0600965      0.0649671      0.0676848
    4.5300      0.0532493      0.0554309      0.0674912
    4.5500      0.0456253      0.0492753      0.0673432
    4.5700      0.0431576      0.0446345      0.0672430
    4.5900      0.0442475      0.0410691      0.0671796
    4.6100      0.0368926      0.0382254      0.0671502
    4.6300      0.0354226      0.0358782      0.0671493
    4.6500      0.0314068      0.0332595      0.0671698
    4.6700      0.0314215      0.0305562      0.0672078
    4.6900      0.0311540      0.0296528      0.0672600
    4.7100      0.0233762      0.0298289      0.0673218
    4.7300      0.0309053      0.0304364      0.0673906
    4.7500      0.0322873      0.0327082      0.0674647
    4.7700      0.0344591      0.0363049      0.0675414
    4.7900      0.0425132      0.0399682      0.0676193
    4.8100      0.0413598      0.0447438      0.0676956
    4.8300      0.0492216      0.0488368      0.0677694
    4.8500      0.0561652      0.0538110      0.0678382
    4.8700      0.0549239      0.0617745      0.0679009
    4.8900      0.0673845      0.0688977      0.0679577
    4.9100      0.0811771      0.0741931      0.0680055
    4.9300      0.0848379      0.0811535      0.0680424
    4.9500      0.0826420      0.0849824      0.0680666
    4.9700      0.0897261      0.0858657      0.0680787
    4.9900      0.0865290      0.0840753      0.0680771
    5.0100      0.0855936      0.0823621      0.0680631
    5.0300      0.0758860      0.0769058      0.0680370
    5.0500      0.0740757      0.0704182      0.0680009
    5.0700      0.0624446      0.0633240      0.0679549
    5.0900      0.0540913      0.0560289      0.0679018
    5.1100      0.0501223      0.0477778      0.0678423
    5.1300      0.0394105      0.0430033      0.0677771
    5.1500      0.0328202      0.0380524      0.0677080
    5.1700      0.0385720      0.0335319      0.0676369
    5.1900      0.0293368      0.0310215      0.0675622
    5.2100      0.0275199      0.0294747      0.0674865
    5.2300      0.0268584      0.0266506      0.0674095
    5.2500      0.0250863      0.0254602      0.0673312
    5.2700      0.0244517      0.0265248      0.0672525
    5.2900      0.0233847      0.0276724      0.0671747
    5.3100      0.0328427      0.0296435      0.0670981
    5.3300      0.0325967      0.0315183      0.0670212
    5.3500      0.0349418      0.0361064      0.0669456
    5.3700      0.0338256      0.0393673      0.0668718
    5.3900      0.0463251      0.0447408      0.0668018
    5.4100      0.0491472      0.0514288      0.0667345
    5.4300      0.0594642      0.0601797      0.0666695
    5.4500      0.0683817      0.0687348      0.0666073
    5.4700      0.0775801      0.0802973      0.0665467
    5.4900      0.0891008      0.0910147      0.0664878
    5.5100      0.1069596      0.1015897      0.0664275
    5.5300      0.1130512      0.1115442      0.0663639
    5.5500      0.1212570      0.1171949      0.0662945
    5.5700      0.1273523      0.1209900      0.0662180
    5.5900      0.1173546      0.1202329      0.0661316
    5.6100      0.1259350      0.1163264      0.0660358
    5.6300      0.1092656      0.1089837      0.0659265
    5.6500      0.1017246      0.0992801      0.0658059
    5.6700      0.0906386      0.0878778      0.0656751
    5.6900      0.0688367      0.0777201      0.0655358
    5.7100      0.0689234      0.0675330      0.0653913
    5.7300      0.0584774      0.0581577      0.0652412
    5.7500      0.0507891      0.0522722      0.0650865
    5.7700      0.0437620      0.0456567      0.0649295
    5.7900      0.0394089      0.0405727      0.0647721
    5.8100      0.0358460      0.0369813      0.0646152
    5.8300      0.0330576      0.0355031      0.0644596
    5.8500      0.0328320      0.0341700      0.0643058
    5.8700      0.0363712      0.0336113      0.0641546
    5.8900      0.0327435      0.0332147      0.0640049
    5.9100      0.0330525      0.0337980      0.0638578
    5.9300      0.0310743      0.0343185      0.0637129
    5.9500      0.0357484      0.0354093      0.0635703
    5.9700      0.0389737      0.0369687      0.0634291
    5.9900      0.0381976      0.0403977      0.0632886
    6.0100      0.0408495      0.0443799      0.0631489
    6.0300      0.0482193      0.0462029      0.0630093
    6.0500      0.0556596      0.0490169      0.0628686
    6.0700      0.0480886      0.0511661      0.0627250
    6.0900      0.0522676      0.0516426      0.0625797
    6.1100      0.0515952      0.0505653      0.0624331
    6.1300      0.0506019      0.0504183      0.0622856
    6.1500      0.0502733      0.0492454      0.0621381
    6.1700      0.0473532      0.0474109      0.0619929
    6.1900      0.0464033      0.0455935      0.0618530
    6.2100      0.0424229      0.0433462      0.0617202
    6.2300      0.0415147      0.0413505      0.0615977
    6.2500      0.0390368      0.0387795      0.0614883
    6.2700      0.0373748      0.0380166      0.0613948
    6.2900      0.0335486      0.0376022      0.0613206
    6.3100      0.0386080      0.0387056      0.0612687
    6.3300      0.0394430      0.0402681      0.0612365
    6.3500      0.0445536      0.0432650      0.0612233
    6.3700      0.0451871      0.0471429      0.0612283
    6.3900      0.0485334      0.0529319      0.0612512
    6.4100      0.0579974      0.0601665      0.0612874
    6.4300      0.0683881      0.0703308      0.0613352
    6.4500      0.0807266      0.0831081      0.0613887
    6.4700      0.0960085      0.0965933      0.0614435
    6.4900      0.1124199      0.1097001      0.0614937
    6.5100      0.1254234      0.1226222      0.0615348
    6.5300      0.1339222      0.1371454      0.0615631
