 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
   13.2500      0.0648332      0.0651171      0.0739068
   13.3500      0.0654543      0.0655814      0.0739088
   13.4500      0.0664567      0.0667053      0.0739191
   13.5500      0.0682048      0.0683077      0.0739375
   13.6500      0.0702615      0.0704696      0.0739618
   13.7500      0.0729423      0.0728686      0.0739896
   13.8500      0.0754020      0.0753496      0.0740175
   13.9500      0.0777043      0.0777641      0.0740428
   14.0500      0.0801858      0.0800362      0.0740626
   14.1500      0.0822185      0.0821225      0.0740744
   14.2500      0.0839631      0.0838618      0.0740759
   14.3500      0.0854038      0.0847869      0.0740652
   14.4500      0.0849938      0.0843359      0.0740418
   14.5500      0.0826101      0.0822582      0.0740067
   14.6500      0.0791706      0.0788249      0.0739633
   14.7500      0.0746940      0.0749328      0.0739159
   14.8500      0.0709338      0.0710671      0.0738703
   14.9500      0.0675735      0.0678006      0.0738316
   15.0500      0.0648944      0.0653574      0.0738038
   15.1500      0.0636043      0.0643676      0.0737897
   15.2500      0.0646040      0.0649209      0.0737897
   15.3500      0.0665544      0.0669527      0.0738015
   15.4500      0.0696996      0.0694261      0.0738216
   15.5500      0.0720244      0.0719149      0.0738452
   15.6500      0.0740206      0.0738161      0.0738686
   15.7500      0.0754032      0.0751849      0.0738887
   15.8500      0.0761309      0.0760064      0.0739038
   15.9500      0.0764852      0.0760524      0.0739136
   16.0500      0.0755411      0.0754940      0.0739180
   16.1500      0.0744557      0.0747283      0.0739181
   16.2500      0.0741880      0.0743991      0.0739155
   16.3500      0.0745537      0.0747029      0.0739107
   16.4500      0.0753671      0.0754449      0.0739038
   16.5500      0.0764139      0.0765134      0.0738944
   16.6500      0.0777593      0.0776614      0.0738823
   16.7500      0.0788109      0.0787609      0.0738672
   16.8500      0.0797125      0.0791991      0.0738490
   16.9500      0.0790740      0.0786301      0.0738278
   17.0500      0.0771039      0.0769029      0.0738049
   17.1500      0.0745307      0.0743260      0.0737823
   17.2500      0.0713434      0.0714275      0.0737624
   17.3500      0.0684084      0.0687552      0.0737476
   17.4500      0.0665138      0.0669228      0.0737402
   17.5500      0.0658461      0.0663336      0.0737412
   17.6500      0.0666410      0.0669929      0.0737503
   17.7500      0.0684916      0.0688214      0.0737660
   17.8500      0.0713317      0.0714891      0.0737859
   17.9500      0.0746439      0.0744050      0.0738064
   18.0500      0.0772393      0.0768020      0.0738238
   18.1500      0.0785229      0.0781967      0.0738353
   18.2500      0.0788278      0.0783190      0.0738391
   18.3500      0.0776065      0.0774368      0.0738351
   18.4500      0.0758760      0.0758590      0.0738245
   18.5500      0.0740944      0.0742323      0.0738097
   18.6500      0.0727264      0.0728488      0.0737931
   18.7500      0.0717258      0.0719553      0.0737771
   18.8500      0.0714136      0.0719000      0.0737635
   18.9500      0.0725605      0.0726062      0.0737536
   19.0500      0.0738444      0.0738979      0.0737468
   19.1500      0.0752888      0.0751233      0.0737424
   19.2500      0.0762367      0.0759857      0.0737394
   19.3500      0.0764315      0.0763978      0.0737368
   19.4500      0.0765251      0.0761255      0.0737344
   19.5500      0.0754198      0.0753761      0.0737322
   19.6500      0.0741833      0.0741009      0.0737307
   19.7500      0.0726996      0.0729251      0.0737302
   19.8500      0.0718924      0.0720250      0.0737310
   19.9500      0.0714830      0.0716428      0.0737326
   20.0500      0.0715530      0.0715922      0.0737344
   20.1500      0.0717407      0.0718002      0.0737358
   20.2500      0.0721070      0.0721666      0.0737361
   20.3500      0.0726521      0.0726211      0.0737346
   20.4500      0.0731040      0.0731378      0.0737313
   20.5500      0.0736574      0.0734366      0.0737264
   20.6500      0.0735485      0.0734830      0.0737206
   20.7500      0.0732431      0.0732351      0.0737147
   20.8500      0.0729138      0.0731159      0.0737095
   20.9500      0.0731907      0.0731347      0.0737059
   21.0500      0.0732996      0.0734031      0.0737041
   21.1500      0.0737191      0.0738260      0.0737045
   21.2500      0.0744591      0.0744389      0.0737065
   21.3500      0.0751386      0.0752756      0.0737092
   21.4500      0.0762290      0.0760502      0.0737117
   21.5500      0.0767829      0.0768112      0.0737127
   21.6500      0.0774217      0.0771092      0.0737116
   21.7500      0.0771229      0.0767820      0.0737075
   21.8500      0.0758015      0.0758932      0.0737007
   21.9500      0.0747553      0.0745661      0.0736923
   22.0500      0.0731415      0.0731880      0.0736835
   22.1500      0.0716671      0.0718239      0.0736755
   22.2500      0.0706630      0.0708000      0.0736695
   22.3500      0.0700700      0.0703815      0.0736659
   22.4500      0.0704114      0.0706707      0.0736644
   22.5500      0.0715306      0.0715255      0.0736643
   22.6500      0.0726347      0.0725153      0.0736641
   22.7500      0.0733806      0.0731604      0.0736630
   22.8500      0.0734658      0.0732582      0.0736606
   22.9500      0.0729280      0.0730090      0.0736573
   23.0500      0.0726333      0.0725667      0.0736544
   23.1500      0.0721389      0.0722121      0.0736531
   23.2500      0.0718643      0.0721280      0.0736546
   23.3500      0.0723808      0.0725354      0.0736594
   23.4500      0.0733611      0.0735991      0.0736671
   23.5500      0.0750554      0.0752081      0.0736762
   23.6500      0.0772079      0.0770380      0.0736848
   23.7500      0.0788508      0.0785328      0.0736905
   23.8500      0.0795399      0.0791966      0.0736916
   23.9500      0.0791992      0.0789324      0.0736870
   24.0500      0.0780581      0.0777899      0.0736768
   24.1500      0.0761124      0.0760386      0.0736621
   24.2500      0.0739453      0.0738420      0.0736449
   24.3500      0.0714682      0.0715682      0.0736273
   24.4500      0.0692910      0.0696242      0.0736117
   24.5500      0.0681134      0.0684202      0.0736002
   24.6500      0.0678561      0.0680851      0.0735940
   24.7500      0.0682857      0.0685707      0.0735933
   24.8500      0.0695704      0.0696487      0.0735977
   24.9500      0.0710901      0.0711450      0.0736057
   25.0500      0.0727745      0.0727550      0.0736158
   25.1500      0.0744003      0.0742373      0.0736262
   25.2500      0.0755370      0.0753454      0.0736353
   25.3500      0.0760990      0.0758854      0.0736422
   25.4500      0.0760203      0.0759072      0.0736462
   25.5500      0.0756023      0.0755915      0.0736477
   25.6500      0.0751520      0.0751595      0.0736472
   25.7500      0.0747241      0.0747436      0.0736455
   25.8500      0.0743546      0.0745645      0.0736432
   25.9500      0.0746148      0.0746503      0.0736405
   26.0500      0.0749813      0.0750805      0.0736371
   26.1500      0.0756454      0.0756025      0.0736326
   26.2500      0.0761807      0.0760332      0.0736264
   26.3500      0.0762734      0.0760091      0.0736180
   26.4500      0.0755733      0.0753356      0.0736072
   26.5500      0.0741600      0.0740689      0.0735950
   26.6500      0.0724733      0.0724937      0.0735829
   26.7500      0.0708479      0.0709159      0.0735725
   26.8500      0.0694265      0.0696108      0.0735655
   26.9500      0.0685580      0.0688648      0.0735630
   27.0500      0.0686098      0.0689157      0.0735654
   27.1500      0.0695793      0.0697961      0.0735722
   27.2500      0.0711993      0.0712895      0.0735822
   27.3500      0.0730899      0.0729268      0.0735936
   27.4500      0.0744911      0.0744388      0.0736045
   27.5500      0.0757354      0.0755810      0.0736135
   27.6500      0.0765164      0.0763723      0.0736195
   27.7500      0.0768650      0.0767296      0.0736224
   27.8500      0.0768073      0.0766115      0.0736219
   27.9500      0.0761623      0.0761616      0.0736185
   28.0500      0.0755151      0.0755183      0.0736129
   28.1500      0.0748774      0.0749187      0.0736054
   28.2500      0.0743636      0.0743060      0.0735969
   28.3500      0.0736770      0.0738084      0.0735879
   28.4500      0.0733844      0.0733458      0.0735790
   28.5500      0.0729759      0.0730681      0.0735707
   28.6500      0.0728440      0.0728739      0.0735634
   28.7500      0.0728017      0.0728527      0.0735575
   28.8500      0.0729123      0.0727960      0.0735534
   28.9500      0.0726740      0.0726384      0.0735510
   29.0500      0.0723289      0.0722838      0.0735505
   29.1500      0.0718485      0.0719621      0.0735519
   29.2500      0.0717088      0.0717622      0.0735553
   29.3500      0.0717294      0.0718039      0.0735604
   29.4500      0.0719735      0.0721180      0.0735668
   29.5500      0.0726511      0.0727650      0.0735736
   29.6500      0.0736705      0.0736372      0.0735798
   29.7500      0.0745901      0.0746085      0.0735843
   29.8500      0.0755650      0.0753099      0.0735865
   29.9500      0.0757747      0.0756939      0.0735855
   30.0500      0.0757419      0.0754559      0.0735816
   30.1500      0.0748512      0.0748890      0.0735752
   30.2500      0.0740739      0.0740430      0.0735678
   30.3500      0.0732038      0.0733759      0.0735604
   30.4500      0.0728501      0.0729368      0.0735544
   30.5500      0.0727566      0.0728850      0.0735501
   30.6500      0.0730483      0.0731093      0.0735476
   30.7500      0.0735230      0.0735898      0.0735466
   30.8500      0.0741983      0.0740745      0.0735464
   30.9500      0.0745022      0.0743753      0.0735463
   31.0500      0.0744255      0.0743470      0.0735457
   31.1500      0.0741132      0.0739787      0.0735444
   31.2500      0.0733974      0.0734242      0.0735424
   31.3500      0.0727619      0.0727825      0.0735402
   31.4500      0.0721883      0.0723919      0.0735380
   31.5500      0.0722254      0.0722183      0.0735358
   31.6500      0.0722413      0.0723791      0.0735333
